objectid,state,country,nosuspchikcases_2015,noconfchikcases_2015,nosuspchikcases_2016,noconfchikcases_2016,nosuspchikcases_2017,noconfchikcases_2017,nosuspchikcases_2018,noconfchikcases_2018,nosuspchikcases_2019,noconfchikcases_2019,nosuspchikcases_2020,noconfchikcases_2020
1,Kerala,India,175,152,129,129,78,74,77,77,109,109,865,363
2,Goa,India,561,32,337,49,509,48,455,77,867,366,78,17
3,Mizoram,India,0,0,0,0,0,0,93,10,0,0,34,0
4,Odisha,India,81,46,51,15,0,0,0,0,242,21,15,2
5,Karnataka,India,20763,2099,15666,1528,32831,3511,20411,2546,43698,3664,9178,918
6,Sikkim,India,0,0,30,5,130,8,384,28,1126,95,191,7
7,West Bengal,India,1013,61,1071,117,2103,577,52,23,,,,
8,Meghalaya,India,78,15,360,68,236,45,44,2,114,48,0,0
9,Arunachal Pradesh,India,35,6,239,8,133,0,507,1,332,55,0,0
10,Tamil Nadu,India,329,329,86,86,131,131,284,284,623,623,186,186
11,Jharkhand,India,21,0,47,14,269,17,3405,851,1691,169,336,64
12,Lakshadweep,India,0,0,0,0,0,0,,,,,,
13,Puducherry,India,245,8,463,20,475,23,2876,361,7084,794,2792,242
14,Assam,India,0,0,40,40,41,41,3,3,0,0,0,0
15,Tripura,India,180,7,311,70,574,64,683,75,1105,125,287,19
16,Manipur,India,0,0,0,0,0,0,2,0,40,3,0,0
17,Andaman & Nicobar,India,68,3,18,0,93,17,205,27,702,53,146,8
18,Gujarat,India,406,42,3285,847,7953,1363,10601,1290,8084,669,1554,142
19,Bihar,India,3,1,566,566,1251,1251,156,156,594,594,1,1
20,Punjab,India,180,18,4407,2054,3251,201,736,25,372,11,25,0
21,Haryana,India,1,1,5394,1970,220,6,62,3,0,0,0,0
22,Uttar Pradesh,India,0,0,2458,2458,103,103,58,58,72,72,14,14
23,Jammu And Kashmir,India,0,0,1,1,0,0,1,1,0,0,0,0
24,Chandigarh,India,1,1,2857,272,1810,54,357,4,82,0,0,0
25,Rajasthan,India,7,7,2506,2215,1612,1612,254,254,365,365,172,172
26,The Dadra And Nagar Haveli And Daman And Diu,India,0,0,0,0,0,0,0,0,0,0,0,0
27,Delhi,India,64,64,12279,9793,940,940,407,407,520,520,26,26
28,Madhya Pradesh,India,67,11,2280,862,2477,858,3211,1609,2749,756,771,83
29,Uttarakhand,India,0,0,35,10,0,0,29,7,1,1,0,0
30,Maharashtra,India,391,207,7570,2949,8110,1438,9884,1009,5158,1646,1231,343
31,Andhra Pradesh,India,817,83,960,147,1162,108,622,79,832,88,267,22
32,Telangana,India,2067,149,611,71,1277,58,1954,489,5352,1358,364,183
33,Nagaland,India,,,,,,,,,,,,
34,Chhattisgarh,India,,,,,,,,,,,,
35,Ladakh,India,,,,,,,,,,,,
36,Himachal Pradesh,India,,,,,,,,,,,,
