Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class
LPG,Awisco,24 Lakeside Ave,At Standish,West Orange,NJ,07052,,973-736-0200,E,,Public,"7am-4:30pm M-F, 8am-12pm Sat",A Cash D M V,,,,,,,,,,200-8,40.782618,-74.232109,2022-11-10,13367,2023-02-14 15:54:11 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false,,,,,,,,HD
LPG,Modern Propane Gas Co,199 Route 46 W,1 mile west of Teterboro Airport,Lodi,NJ,07644,,973-778-0812,E,,Public,"8am-8pm M-F, 8am-5pm Sat-Sun",A Cash D M V,,,,,,,,,,200-9,40.875277,-74.070034,2022-11-10,13371,2023-02-14 15:54:11 UTC,P,,,1999-07-08,,,false,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false,,,,,,,,HD
LPG,U-Haul,276 Tonnelle Ave,At Tonnelle Cir,Jersey City,NJ,07306,,201-963-6176,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,40.739785,-74.063833,2023-02-13,19216,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,false,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,,HD
LPG,U-Haul,397 Route 18 S,"East of New Jersey Turnpike, just past Lowe's.",East Brunswick,NJ,08816,,732-254-9148,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,GPS,40.44863757744279,-74.39721353862308,2023-02-13,19229,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,false,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,,HD
CNG,New Jersey Natural Gas - Ocean Division Operations Center,775 Vassar Ave,,Lakewood Township,NJ,08701,,732-919-8000,E,,Private - Fleet customers only,Contact station to set up fueling account,Proprietor,,Q,3600,,,,,,,200-9,40.067935,-74.182404,2022-10-11,23206,2023-09-25 14:53:41 UTC,T,,,2002-04-15,,HD,,,,US,,,,Privé - Réservé aux clients de parcs,,private,FLEET,,UTILITY,2,,760,31664,,,,,,,,Q,3600,HD,,,,,,,,,false,,HD
CNG,Port Authority of New York and New Jersey - Holland Tunnel,13th & Provost St,,Jersey City,NJ,07310,,,E,,Private,,,,Q,3000 3600,,,,,,,GPS,40.730667,-74.039876,2023-02-13,23208,2023-09-25 15:07:43 UTC,P,,,2014-04-15,,MD,,,,US,,,,Privé,,private,,,STANDALONE_STATION,2,,,,,,,,,,,Q,3000 3600,MD,,,,,,,,,false,,MD
BD,Woolley Fuel Co,12 Burnett Ave,At Springfield Avenue.,Maplewood,NJ,07040,,973-762-7400,E,,Public,"8am-4:30pm M-F, 8am-12pm Sat (Sat hours in winter only)",A Cash Checks D M V,"B30, any blend up to B30 available",,,,,,,,,200-8,40.721806,-74.258273,2022-11-10,33488,2023-07-14 21:08:14 UTC,P,,,2005-12-15,,,,,,US,,,,Public,,public,,,STANDALONE_STATION,,,,,,,,,,,,,,,,,false,,,,,,,,MD
BD,Princeton Plasma Physics Laboratory,100 Stellarator Rd,,Princeton,NJ,08453,,,E,,Private - Government only,,,B20,,,,,,,,,GPS,40.350011,-74.604169,2022-07-12,33620,2023-05-30 18:46:28 UTC,FG,8,U.S. Department of Energy,2008-12-15,,,,,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,DOE,RESEARCH_FACILITY,,,,,,,,,,,,,,,,,,,,,,,,,
E85,Princeton Plasma Physics Laboratory,100 Stellarator Rd,,Princeton,NJ,08453,,,E,,Private - Government only,,,,,,,,,,,,GPS,40.350011,-74.604169,2022-07-12,33676,2023-05-30 18:46:28 UTC,FG,8,U.S. Department of Energy,2010-09-15,,,,false,,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,DOE,RESEARCH_FACILITY,,,,,,,,,,,,,,,,,,,,,,,,,
E85,Mighty Joe's Gas Station,1231 Route 206,,Shamong,NJ,08088,,609-268-0303,E,,Public - Credit card after hours,6am-9pm daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-8,39.81018,-74.7367,2022-11-10,35203,2023-09-20 21:02:24 UTC,P,,,2009-07-15,,,,false,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD
CNG,Clean Energy - Central Jersey Waste,500 Breunig Ave,,Trenton,NJ,08638,,,E,,Private,,,,T,3000,,,,,,,200-9,40.23782,-74.73677,2022-12-13,35227,2023-08-25 15:12:32 UTC,P,,,2009-11-15,,HD,,,,US,,,,Privé,,private,,,FLEET_GARAGE,,,,,,,,,,,,T,3000,HD,,,,,,,,,,,HD
CNG,Clean Energy - Atlantic County Utilities Authority,6700 Delilah Rd,Delilah Rd and Doughty Rd,Egg Harbor Township,NJ,08234,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card; Also accepts ACUA,CleanEnergy D FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-9,39.417088,-74.538731,2022-12-13,35309,2023-08-25 15:12:32 UTC,T,,,2010-10-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,2,,1000,,,,,,,,,Q,3000 3600,HD,,,false,,,,,,,,HD
E85,Power Gas,205 Sanford St,,East Orange,NJ,07018,,973-678-2002,E,,Public,5am-12am daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-8,40.7551,-74.22848,2022-11-10,35537,2023-09-13 20:32:19 UTC,P,,,2018-05-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD
